rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000026834	NA	8.61652392633978	2.03943635526496	0.84868618538763	2.40305119887566	0.0162589108830255	0.0424106751381033	Acvr1c	0.01	0.01	0.09	0.01	0	0.01	0.01	0.01	0	0
ENSMUSG00000026841	NA	6.36674410698595	-3.70961601435677	0.984913353881546	-3.76643894585972	0.000165592554694882	0.000854117063624421	Fibcd1	0	0.01	0.01	0.02	0.03	0	0	0	0.02	0.02
ENSMUSG00000026853	NA	869.68811714769	-1.63706287387937	0.172624930546562	-9.48335138323374	2.46244606321995e-21	2.78993463829444e-19	Crat	2.21	2.24	3.07	4.22	6.77	1.7	1.8	1.5	3.26	5.39
ENSMUSG00000026888	NA	293.523756572465	-2.39788208596672	0.299923337990433	-7.9949833248495	1.29591405217492e-15	7.12325034289549e-14	Grb14	0.92	0.64	0.62	2.8	3.9	0.37	0.41	0.89	2.23	1.72
ENSMUSG00000026890	NA	61.2599853293985	-1.85133324117646	0.420737028344625	-4.40021466249469	1.08143844448108e-05	7.79375045124721e-05	Lhx6	0.08	0.12	0.3	0.52	0.41	0.08	0.07	0.05	0.18	0.38
ENSMUSG00000026921	NA	693.8842405588	-1.77040527811807	0.248924039352674	-7.11223103530698	1.14181908566717e-12	3.99516741003922e-11	Egfl7	3.72	4.37	5.69	10.39	11.34	2.76	5.71	4.66	11.64	11.39
ENSMUSG00000026934	NA	16.4129337509042	2.35455733001647	0.567399893294181	4.14973171099223	3.32865186387442e-05	0.000210793523927104	Lhx3	0.1	0.19	0.16	0.01	0.05	0.11	0.13	0.11	0.02	0
ENSMUSG00000026959	NA	65.5079448175341	-2.39398287228375	0.543078110592902	-4.40817412005453	1.04245724723751e-05	7.53564472775206e-05	Grin1	0.12	0.11	0.08	0.29	0.86	0.07	0.06	0.05	0.07	0.15
ENSMUSG00000027004	NA	90.7687935606631	-3.4962322220264	0.429259934268879	-8.14479047056005	3.79939243284006e-16	2.2680602497832e-14	Frzb	0.1	0.05	0.04	0.99	0.87	0.03	0.12	0.08	0.5	0.3
ENSMUSG00000027009	NA	459.79299033852	-2.37031036684516	0.36843215829458	-6.43350563592764	1.24693969028666e-10	2.97107017764297e-09	Itga4	0.19	0.16	0.45	0.58	0.8	0.12	0.19	0.21	0.71	1.83
ENSMUSG00000027015	NA	15843.5165046651	-7.1784717765786	0.286466357848413	-25.0586904182905	1.40377049539151e-138	2.33797976007456e-134	Cybrd1	0.51	0.52	0.47	45.32	118.68	0.39	0.73	0.58	32.72	66.92
ENSMUSG00000027016	NA	19.1129369022284	-2.07571914928085	0.45054958091628	-4.60708263241411	4.08357754613905e-06	3.33392078583068e-05	Zfp385b	0.05	0.1	0.07	0.19	0.14	0.01	0.02	0.03	0.22	0.19
ENSMUSG00000027068	NA	2861.85140281714	1.55129273855941	0.204595530668256	7.58224157435174	3.3963512344955e-14	1.59341492424007e-12	Dhrs9	9.04	14.11	10.74	4.15	3	10.47	8.83	6.93	1.8	1.93
ENSMUSG00000027082	NA	148.4846090493	-1.93425950961705	0.304349726183463	-6.35538442525515	2.07906016985449e-10	4.64788552066127e-09	Tfpi	0.49	0.32	0.44	1.06	1.46	0.14	0.48	0.39	1.06	1.31
ENSMUSG00000027186	NA	477.905713529966	-2.24913022721528	0.41633727197133	-5.40218322651199	6.5834651213513e-08	8.43256993196959e-07	Elf5	1.88	3.32	2.16	3.42	10.23	0.81	0.48	0.61	2.09	2.42
ENSMUSG00000027217	NA	727.527349804099	-1.81345566508148	0.255848008866056	-7.08801945779799	1.36044847058676e-12	4.65262202825925e-11	Tspan18	1.41	1.69	1.47	2.88	5.64	0.66	1.22	1.04	1.98	2.43
ENSMUSG00000027221	NA	105.581198708536	-2.11444963830317	0.306228215247868	-6.904816515982	5.02683576735862e-12	1.55040647602515e-10	Chst1	0.21	0.24	0.39	0.64	0.73	0.06	0.17	0.14	0.58	0.64
ENSMUSG00000027239	NA	493.604993507128	-1.731162277456	0.293955424639324	-5.88919996826081	3.88069651147441e-09	6.56835509094307e-08	Mdk	5.27	5.21	3.92	13.02	20.11	2.18	6.82	5.39	8.7	10.27
ENSMUSG00000027249	NA	4.67174260633408	2.49922700883211	1.00085505566534	2.49709185629352	0.0125216516456053	0.0343176087144243	F2	0.02	0.04	0.11	0.01	0	0.03	0.03	0.03	0	0.02
ENSMUSG00000027254	NA	1170.81833298096	-2.06449568621092	0.281309777170578	-7.33886929553491	2.15405839581151e-13	8.68664469303649e-12	Map1a	0.58	0.69	0.79	2.36	2.86	0.3	0.58	0.39	1.21	1.06
ENSMUSG00000027296	NA	43.2096398847026	2.41769153312754	0.379934248234046	6.36344721320885	1.97275211821428e-10	4.44002520660255e-09	Itpka	0.25	0.54	0.63	0.09	0.1	0.44	0.3	0.41	0.02	0.05
ENSMUSG00000027297	NA	4.8699932840035	-2.4930878662612	0.746640130086805	-3.33907563469881	0.00084057674150903	0.00349441812234779	Ltk	0.01	0	0.01	0.04	0.03	0.01	0.01	0.01	0.03	0.05
ENSMUSG00000027313	NA	8741.49556586275	-4.85016083328698	0.328312840964569	-14.7729854824972	2.18802041446871e-49	2.80319076945972e-46	Chac1	3.51	4.71	5.07	111.83	244.64	7.86	5.13	4.88	88.34	58.59
ENSMUSG00000027322	NA	27.593423995216	-1.87486972330334	0.582842338343987	-3.21676995640082	0.00129642503351663	0.0050502337603282	Siglec1	0.03	0.02	0.01	0.08	0.04	0.01	0.05	0.03	0.09	0.05
ENSMUSG00000027339	NA	571.67131216998	-1.78936341421698	0.267743103641504	-6.68313540061468	2.33883289739213e-11	6.34960855946909e-10	Rassf2	1.18	1.21	1.44	1.63	2.88	0.57	0.66	0.52	1.5	3.69
ENSMUSG00000027350	NA	6.10579487939893	2.1992312012193	0.933217312781726	2.35661208927196	0.0184425008150428	0.0470526732650947	Chgb	0.05	0.09	0.06	0	0.01	0.02	0.01	0.02	0.01	0
ENSMUSG00000027375	NA	3562.23598837597	-3.55957176099223	0.404276916492614	-8.80478606563543	1.31102404718926e-18	1.1614417822307e-16	Mal	4.22	2.84	7.57	25.39	41.53	1.38	1.21	1.27	14.21	27.86
ENSMUSG00000027380	NA	21.8818152639484	4.51421543275413	0.935750666538681	4.82416480605042	1.40591134719687e-06	1.28939721847819e-05	Acoxl	0.79	0.27	0.09	0	0.02	0.03	0.13	0.35	0	0.02
ENSMUSG00000027398	NA	300.914403677115	4.21099917957269	0.724125913311378	5.81528585314132	6.05303584037749e-09	9.83544506551094e-08	Il1b	1.68	3.35	17.83	0.4	0.17	2.39	4.43	2.58	0.29	0.04
ENSMUSG00000027403	NA	804.772454359347	-2.27077964105024	0.429309539776172	-5.28937615091001	1.22734254094779e-07	1.46638378905921e-06	Tgm6	1.19	2.12	1.94	3.34	9.14	0.68	0.47	0.52	1.02	4.23
ENSMUSG00000027408	NA	733.059290162717	-1.6614270729597	0.324471255853552	-5.12041372844925	3.04866063593979e-07	3.2928302783124e-06	Cpxm1	1.79	2.23	1.73	5.55	6.41	0.84	3.12	1.96	3.38	4.13
ENSMUSG00000027416	NA	2.9120717279801	-2.96734155466783	1.20530115450024	-2.46190882966356	0.0138199791770414	0.0372084955049506	Otor	0.01	0.03	0.03	0.04	0.11	0	0	0	0.01	0.14
ENSMUSG00000027419	NA	84.5844567235227	2.46317625519091	0.462890768111053	5.32129051793914	1.03033708438585e-07	1.25166040411717e-06	Pcsk2	0.22	0.49	0.39	0.02	0.04	0.3	0.17	0.22	0.02	0.1
ENSMUSG00000027435	NA	3306.56561306396	-1.81248339714488	0.212262000505961	-8.53889717813144	1.35508888632093e-17	1.03054819185731e-15	Cd93	2.13	3.66	4.61	6.3	10.76	1.54	2.43	2.07	5.56	7.17
ENSMUSG00000027474	NA	80.9155410609084	-1.55021510085148	0.242058638647677	-6.40429570913957	1.51065074653177e-10	3.53369216060205e-09	Ccm2l	0.49	0.77	0.6	1.21	0.93	0.23	0.26	0.31	1.04	0.95
ENSMUSG00000027514	NA	13.3540338004501	-2.25132949095567	0.762547000350943	-2.952381282622	0.00315333297982174	0.0107664536242171	Zbp1	0.02	0.06	0.09	0.57	0.06	0.02	0.09	0.04	0.1	0.1
ENSMUSG00000027528	NA	14.7875087082316	-5.19130903013599	0.851442447543557	-6.0970756686058	1.08026392337301e-09	2.06564817953818e-08	Fabp9	0	0	0	1.41	1.34	0.06	0.03	0.08	0.39	0.38
ENSMUSG00000027547	NA	8.0058856085661	-1.85624476876178	0.7023507140249	-2.64290294249771	0.00821985941271905	0.0242389799077259	Sall4	0.02	0.14	0.01	0.04	0.03	0	0	0.01	0.01	0.03
ENSMUSG00000027559	NA	95.4794540677039	-2.75406931908054	0.961100720798841	-2.86553662845184	0.00416303109196673	0.0136041541053924	Car3	0.27	0.13	0.35	1.55	0.96	0	0.61	0.07	1.22	1.01
ENSMUSG00000027560	NA	46.4747968216683	-2.99016388502113	0.482967437755603	-6.19123288915028	5.96954313699311e-10	1.22441799195345e-08	Dok5	0.13	0.04	0.18	0.5	0.84	0.01	0.07	0.09	0.39	0.41
ENSMUSG00000027603	NA	76.1269744926641	-2.06183850190785	0.430937112447664	-4.7845461491977	1.71374120530368e-06	1.53950160595107e-05	Ggt7	0.27	0.38	0.07	0.75	0.82	0.05	0.32	0.13	0.58	0.48
ENSMUSG00000027661	NA	204.235953337026	-1.73749390511565	0.349071142863988	-4.97747791713808	6.44181286152025e-07	6.48268236910089e-06	Slc2a10	0.34	0.41	0.64	0.94	1.32	0.09	0.39	0.2	0.66	0.62
ENSMUSG00000027669	NA	539.479867231461	-1.62275061693821	0.238028937126701	-6.81745100628012	9.26699920270971e-12	2.72688819295283e-10	Gnb4	1.18	1.47	1.81	2.73	4.05	0.63	1.97	1.58	3.01	3.03
ENSMUSG00000027674	NA	33.9734782261325	2.0443811407702	0.458038439380721	4.46333967850877	8.06919792486998e-06	6.01039764931617e-05	Pex5l	0.19	0.33	0.43	0.03	0.06	0.09	0.16	0.09	0.03	0.02
ENSMUSG00000027737	NA	17691.1581649438	-1.78102706527857	0.350687366644918	-5.07867472477821	3.80076791556671e-07	4.00897971081466e-06	Slc7a11	11.93	16.41	14.87	17.23	22.23	10.25	5.22	8.56	20.89	62.54
ENSMUSG00000027762	NA	16.6060551382078	2.07608467390702	0.526638618816908	3.94214286557818	8.07568466605317e-05	0.000455625095234132	Sucnr1	0.25	0.12	0.19	0.05	0.02	0.12	0.24	0.18	0.02	0.1
ENSMUSG00000027827	NA	64.4466464574536	-3.68542560047338	0.362320866754773	-10.1717177745872	2.65190018848434e-24	4.46135329688956e-22	Kcnab1	0.06	0.08	0.03	0.49	0.44	0.02	0.11	0.02	0.34	0.37
ENSMUSG00000027832	NA	343.112267172518	-1.72548884029562	0.31569670092119	-5.46565369628733	4.61203970288502e-08	6.11572621429538e-07	Ptx3	1.25	0.93	2.71	3.99	3.29	0.56	1.05	0.61	2.08	2.53
ENSMUSG00000027833	NA	38.467900497679	-3.47598161918089	0.398030847818966	-8.73294529363172	2.48125120283151e-18	2.11924301452096e-16	Shox2	0.07	0.03	0.13	0.27	0.37	0.02	0.04	0.1	0.29	0.31
ENSMUSG00000027834	NA	122.561759230225	-2.65360442714486	0.415269300341293	-6.39008090644785	1.6579800765598e-10	3.79875933729457e-09	Serpini1	0.12	0.12	0.29	1.68	0.49	0.16	0.14	0.35	0.49	0.86
ENSMUSG00000027840	NA	129.864723213722	-1.56897010382544	0.399352888744784	-3.92878115582664	8.53774912379467e-05	0.000477008425551158	Wnt2b	0.31	0.34	0.29	0.66	0.95	0.1	0.44	0.11	0.47	0.33
ENSMUSG00000027848	NA	2947.15019669116	-1.51913970404584	0.286560506195355	-5.30128776018497	1.14988674582446e-07	1.38276994597158e-06	Olfml3	4.4	4.31	6.8	10.17	13.67	1.43	5.03	3.1	6.85	7.08
ENSMUSG00000027849	NA	16.6418178853231	-1.76939448785625	0.701192338645111	-2.52340818679677	0.0116223405815938	0.0322814919335626	Syt6	0.05	0.04	0.08	0.08	0.06	0	0.02	0	0.06	0.05
ENSMUSG00000027875	NA	99.0357182932337	1.52647931343188	0.587218823378381	2.59950678121957	0.00933578339267772	0.026938231532406	Hmgcs2	0.17	0.36	0.46	0.07	0.05	0.96	0.2	0.53	0.11	0.27
ENSMUSG00000027896	NA	30.1807969254172	-1.97431636104718	0.404210425260262	-4.88437763517842	1.03756052805457e-06	9.8520926994007e-06	Slc16a4	0.09	0.05	0.06	0.21	0.2	0.04	0.09	0.05	0.26	0.14
ENSMUSG00000027925	NA	33.2750991871775	1.96135011877233	0.77617642483349	2.52693853616218	0.0115061637661043	0.0320192410233029	Sprr2j-ps	2.65	2.97	0.58	0.15	0.62	0.13	0.34	0.48	0.08	0.13
ENSMUSG00000027955	NA	2124.01965572883	-1.51147002373616	0.277627199406997	-5.44424331248742	5.20260665302521e-08	6.79694558585796e-07	Fam198b	2.93	2.1	3.58	4.63	6.68	0.71	2.32	1.68	3.98	4.87
ENSMUSG00000027962	NA	511.778539462419	-1.69188327000876	0.23364020264676	-7.24140473618197	4.44061028192508e-13	1.65085634476478e-11	Vcam1	0.97	0.91	1.12	2.67	2.12	0.52	1.32	0.69	1.85	2.51
ENSMUSG00000027966	NA	7845.94023184288	-2.3572150965554	0.359450642224014	-6.55782691601467	5.45975251872462e-11	1.39252952832096e-09	Col11a1	5.62	4.6	8.12	22.92	28.47	1.66	6.72	2.15	16.41	12.95
ENSMUSG00000027985	NA	667.239050750229	-4.54612874819406	0.367880490259278	-12.3576239256124	4.43059875073228e-35	1.94188479456437e-32	Lef1	0.29	0.27	0.23	2	6.45	0.11	0.25	0.38	1.63	7.21
ENSMUSG00000027996	NA	630.405185225385	-2.23684309872224	0.456942883849144	-4.89523565807562	9.81879946035968e-07	9.39839683978681e-06	Sfrp2	1.34	0.86	4.67	2.71	6.87	0.5	1.42	0.89	4.27	8.4
ENSMUSG00000028004	NA	15.3808156467213	-1.86308373298447	0.555366943512275	-3.35468964213441	0.000794540714793632	0.00332907562387118	Npy2r	0.02	0.04	0.03	0.05	0.15	0.03	0.02	0.02	0.03	0.15
ENSMUSG00000028005	NA	183.088216859291	-1.55774712479457	0.272594053762651	-5.71453083180936	1.10007103408791e-08	1.68552742159468e-07	Gucy1b3	0.35	0.4	0.59	0.74	0.89	0.18	0.53	0.29	0.8	1.22
ENSMUSG00000028024	NA	58.7029550333759	-1.59337191715506	0.394721049834896	-4.0367036868734	5.4207463486466e-05	0.000323361498698815	Enpep	0.06	0.09	0.24	0.32	0.16	0.07	0.13	0.16	0.21	0.31
ENSMUSG00000028037	NA	19.4935669297998	-3.59263654850211	0.713602318657122	-5.03450795292095	4.79077789004952e-07	4.95900595144653e-06	Ifi44	0.04	0	0	0.41	0.08	0.01	0.01	0.04	0.1	0.12
ENSMUSG00000028073	NA	351.258446921944	-1.68779049677753	0.191786358325974	-8.80036782339253	1.3636844621275e-18	1.19773458582744e-16	Pear1	0.61	0.92	1.76	1.94	2.62	0.83	0.9	0.4	2.12	2.33
ENSMUSG00000028078	NA	179.221444354336	-2.09849690404453	0.248303840053567	-8.45132682439309	2.88010781772264e-17	2.04992289334062e-15	Dclk2	0.13	0.19	0.16	0.84	0.79	0.21	0.22	0.24	0.55	0.61
ENSMUSG00000028132	NA	1080.57342927327	-4.84675262532071	0.227927055585295	-21.2644901364373	2.42107000560296e-100	6.72048682388621e-97	Tmem56	0.21	0.2	0.29	3.62	8.71	0.18	0.18	0.09	2.67	4.14
ENSMUSG00000028141	NA	5.07422494020006	-2.93555254469497	0.855250784211344	-3.43238801868149	0.000598290899568677	0.00260988342910328	Oaz3	0.07	0.01	0.03	0.05	0.3	0.01	0.02	0	0.07	0.03
ENSMUSG00000028176	NA	4.6984812314461	-2.29288464476848	0.846079083160442	-2.71001220855578	0.00672807315889943	0.0205230876303059	Lrrc7	0.02	0.01	0	0.01	0.01	0	0	0.01	0.01	0.01
ENSMUSG00000028194	NA	250.483790362098	-2.25085362331144	0.197300155307585	-11.4082709149541	3.80212056136612e-30	1.09179858533712e-27	Ddah1	0.42	0.44	0.59	1.47	1.73	0.23	0.29	0.27	0.95	1.14
ENSMUSG00000028195	NA	2024.31198357575	-2.76448449464368	0.305621846448843	-9.04544137392488	1.49061743772481e-19	1.42135818100357e-17	Cyr61	4.28	3.2	6.89	18.66	38.92	3.2	2.61	1.97	12.17	10
ENSMUSG00000028197	NA	682.86381137085	-1.85612212440679	0.347378891237673	-5.34322082091295	9.1309415853717e-08	1.12272283337309e-06	Col24a1	0.82	1	1.27	2.88	2.93	0.54	0.95	0.26	2.5	1.12
ENSMUSG00000028226	NA	292.407304238664	-1.9105848591326	0.24612278465853	-7.76273054842661	8.31200850764526e-15	4.20779640409823e-13	Mmp16	0.53	0.66	0.75	1.01	1.79	0.3	0.58	0.32	1.27	1.07
ENSMUSG00000028259	NA	25.9980343146771	-2.7226524631319	0.447727638201229	-6.0810462228115	1.19400862499604e-09	2.27011571339144e-08	Fhl5	0.1	0.13	0.09	0.5	0.28	0.06	0.14	0.04	0.54	0.55
ENSMUSG00000028262	NA	22.464434223832	3.18853031932067	0.658577250184054	4.84154337008993	1.28834548635321e-06	1.19207744862293e-05	Clca2	0.18	0.07	0.09	0.02	0.03	0.17	0.32	0.11	0	0.01
ENSMUSG00000028268	NA	76.7753417882567	-1.65280107343887	0.501154823764731	-3.29798496405331	0.00097381348903829	0.00396549233739187	Gbp3	0.2	0.14	0.16	1.29	0.52	0.09	0.5	0.29	0.47	0.22
ENSMUSG00000028270	NA	91.6511737996518	-1.84263415736222	0.469343940347918	-3.92597836886164	8.63779183447502e-05	0.000481628466699636	Gbp2	0.21	0.11	0.37	1.06	0.56	0.05	0.29	0.22	0.34	0.44
ENSMUSG00000028328	NA	21.5341484322208	-1.85469456987346	0.590320443133072	-3.14184370785101	0.00167887628167688	0.00628211288953684	Tmod1	0.05	0.16	0.1	0.05	0.22	0.12	0.05	0.02	0.1	0.1
ENSMUSG00000028351	NA	13.8167256829697	1.76910627513853	0.717952025871798	2.46410095854293	0.0137357415625635	0.0370475750161126	Brinp1	0.04	0.17	0.11	0.03	0.04	0.04	0.04	0.04	0	0.01
ENSMUSG00000028369	NA	5002.42609018764	-1.77250249633282	0.213387832241579	-8.30648344712623	9.85799735186958e-17	6.41347444903859e-15	Svep1	1.99	3.86	2.76	7.57	7.79	1.63	3.15	2.16	5.56	6.55
ENSMUSG00000028544	NA	2539.67795858932	1.71785621969719	0.278983611786284	6.15755244079768	7.38777841527765e-10	1.48963013930326e-08	Slc5a9	18.77	15.43	9.26	2.1	4.51	12.6	7.45	8.97	1.86	4.1
ENSMUSG00000028591	NA	95.979113981256	1.57448922031236	0.22799823116739	6.90570804979804	4.9953638448065e-12	1.54355816020876e-10	Pramef12	0.89	0.73	0.64	0.12	0.24	0.72	0.49	0.5	0.19	0.21
ENSMUSG00000028597	NA	483.975078579757	-1.59062485790099	0.249940444292345	-6.36401548538701	1.96546311373015e-10	4.4296059755312e-09	Gpx7	3.44	2.45	5.11	7.58	8.61	1.23	3.32	2.14	5.3	5.45
ENSMUSG00000028626	NA	134.028056389599	-3.60736437235703	0.470390598760652	-7.66887004515275	1.73518126948668e-14	8.47491027662776e-13	Col9a2	0.07	0.09	0.07	1.15	1.92	0.16	0.27	0.07	0.68	0.93
ENSMUSG00000028641	NA	1339.96610576657	-1.54991972657275	0.256619867144534	-6.03974954791712	1.54353622323836e-09	2.87879012296024e-08	Lepre1	3.51	3.05	5.89	9.19	11.43	2.36	3.97	2.72	5.69	5.44
ENSMUSG00000028708	NA	1434.24367852168	-1.58742906788953	0.213272936968187	-7.44318097952731	9.82892842220192e-14	4.26831249958286e-12	Mknk1	4.9	5.77	6.38	10.02	21.4	4.94	4.64	3.43	7.49	10.5
ENSMUSG00000028717	NA	81.8030046839621	-1.61371310549528	0.365172033903901	-4.41904898423833	9.91361779788995e-06	7.21010062986276e-05	Tal1	0.09	0.07	0.28	0.37	0.36	0.11	0.23	0.14	0.27	0.27
ENSMUSG00000028736	NA	38.9091874882032	1.93400430497977	0.341945593091712	5.65588311138449	1.55046964090658e-08	2.27115847575191e-07	Pax7	0.11	0.1	0.14	0.03	0.02	0.1	0.11	0.08	0.01	0.03
ENSMUSG00000028755	NA	108.422692652012	-2.87414186152518	0.50929573475659	-5.64336526968722	1.66758031997193e-08	2.42140804090083e-07	Cda	0.73	0.2	1.3	5.54	3.51	0.1	0.57	0.47	1.12	2.71
ENSMUSG00000028766	NA	3872.25222559586	-2.076072074759	0.511643958197303	-4.05764993702596	4.95689932257818e-05	0.000300317054265331	Alpl	7.4	8.66	15.35	32.45	45.57	1.7	11.89	4.41	16.51	15.73
ENSMUSG00000028773	NA	31.3514720562281	-2.08502290145324	0.54847324794634	-3.80150337187863	0.000143820781196088	0.000753961319112637	Fabp3	0.28	0.3	0.1	1.15	0.97	0.07	0.53	0.13	0.64	0.49
ENSMUSG00000028804	NA	4.66007776075386	5.2982656938606	1.84316409660552	2.87454909935485	0.00404604855429549	0.0132782145166091	Csmd2	0	0	0.04	0	0	0.02	0	0.04	0	0
ENSMUSG00000028859	NA	76.1647823520392	2.1619741066278	0.530916199157481	4.07215698081669	4.65797678264141e-05	0.00028466917295449	Csf3r	0.36	0.36	2.1	0.09	0.08	0.26	0.42	0.12	0.06	0.2
ENSMUSG00000028883	NA	246.819619584064	-1.84916359864295	0.250346794791572	-7.38640812310971	1.50848298903481e-13	6.32840911394828e-12	Sema3a	0.2	0.26	0.43	0.66	2.09	0.29	0.31	0.56	0.92	0.8
ENSMUSG00000028926	NA	769.916002155026	-1.65227488882817	0.233343001177692	-7.08088470830093	1.43237035388151e-12	4.87855383310769e-11	Cdk14	1.25	0.98	1.5	2.67	3.02	0.61	1.28	0.84	2.49	2.21
ENSMUSG00000028976	NA	231.371645983029	1.63651969556688	0.256103863278617	6.39006251064047	1.65817954861192e-10	3.79875933729457e-09	Slc2a5	1.08	1.69	2.18	0.27	0.42	1.89	2.49	2.12	0.4	0.42
ENSMUSG00000028978	NA	494.563411792759	-1.93382117561815	0.248523324339421	-7.78124621002183	7.18135767409607e-15	3.65766091932936e-13	Nos3	0.68	1.02	1.02	1.83	2.96	0.3	0.5	0.44	1.32	1.66
ENSMUSG00000028989	NA	95.564037880409	1.50654061037796	0.570637865565956	2.64009926660542	0.00828817467604149	0.0244015466200232	Angptl7	0.78	0.52	0.54	0.17	0.16	0.21	1.77	0.22	0.1	0.34
ENSMUSG00000029061	NA	515.301811302417	-1.97196212628418	0.236542677812764	-8.3366018534934	7.64559602519953e-17	5.1439718751161e-15	Mmp23	3.13	3.72	4.96	10.4	11.91	1.76	3.88	2.82	8.58	7.22
ENSMUSG00000029088	NA	9.40728866581373	-2.93243488465101	0.684019118253267	-4.28706567754915	1.81048777272059e-05	0.000122426609235328	Kcnip4	0.03	0.01	0.01	0.05	0.07	0.01	0.03	0.02	0.07	0.14
ENSMUSG00000029090	NA	2643.06411823554	-1.70782814075977	0.202175170549944	-8.4472694451759	2.98194968380555e-17	2.11337753122474e-15	Gpr125	3.64	6.54	7.48	13.61	13.23	1.95	7.25	2.31	7.37	10.17
ENSMUSG00000029092	NA	4.72271892010632	-3.69384430820648	1.07929098537863	-3.42247304781355	0.000620542495681259	0.00269004041269427	4930435H24Rik	0	0.01	0	0.03	0.02	0	0	0	0.05	0.04
ENSMUSG00000029155	NA	189.519695892056	-2.29101696980934	0.89669316394027	-2.55496201146678	0.0106199387647009	0.0299737468439405	Spata18	0.29	0.13	1.36	0.35	3.86	0.62	0.51	0.09	2.8	0.35
ENSMUSG00000029189	NA	286.230442673831	3.0186410151646	0.288566012080909	10.460833531283	1.30700770767167e-25	2.59145397277043e-23	Sel1l3	0.59	1.29	1.61	0.12	0.14	1.45	1	0.61	0.08	0.1
ENSMUSG00000029206	NA	7.12918965152408	-2.42450581457962	0.753267378154475	-3.21865234695245	0.00128794533142391	0.00503006402322293	Nsun7	0.02	0.02	0	0.05	0.07	0	0	0.03	0.03	0.05
ENSMUSG00000029219	NA	57.166769771367	-5.39383053149533	0.613524650756759	-8.79154655781515	1.47515070795126e-18	1.28631597072922e-16	Slc10a4	0.07	0	0.01	0.46	1.19	0	0.02	0.04	0.39	0.54
ENSMUSG00000029245	NA	84.2977378290809	-3.60887098159862	0.393150926146373	-9.17935261395011	4.33690843148687e-20	4.35127770641047e-18	Epha5	0.03	0.08	0.07	0.26	0.41	0	0.05	0.03	0.38	0.4
ENSMUSG00000029255	NA	13.7939601859939	-6.64752645226447	1.00613652903572	-6.60698251223963	3.92232351964717e-11	1.02714305376924e-09	Gnrhr	0	0.01	0	0.07	0.16	0	0	0	0.11	0.28
ENSMUSG00000029275	NA	10.9507858557014	2.33720449495414	0.619993157731691	3.76972627166572	0.000163426687127153	0.000843729533199855	Gfi1	0.04	0.1	0.14	0.03	0.02	0.04	0.06	0.04	0.01	0.01
ENSMUSG00000029299	NA	18.3875251668152	-2.17935142983685	0.482914497814827	-4.51291365179208	6.39430598579906e-06	4.9009280346748e-05	Abcg3	0.05	0.01	0.06	0.08	0.11	0.01	0.03	0.02	0.08	0.14
ENSMUSG00000029304	NA	4444.7633452328	-2.1775941111406	0.630592375522181	-3.45325157053695	0.000553872206666833	0.00245013057158994	Spp1	12.62	8.32	36.19	72	21.36	3.74	23.75	15.84	73.92	48.06
ENSMUSG00000029306	NA	6524.19187547154	-3.03815860250541	0.788591931600903	-3.85263718884076	0.000116852468220118	0.000629220128744282	Ibsp	10.78	8.01	28.94	69.4	80.16	0.62	11.96	1.91	62.81	30.25
ENSMUSG00000029307	NA	722.997697502059	-2.9844488416466	0.971120150295746	-3.07320246700443	0.00211774751456017	0.00769271207306427	Dmp1	1.18	0.13	0.85	7.85	2.31	0.02	2.04	0.34	5.19	3.42
ENSMUSG00000029322	NA	16.4641864727065	-2.04778956573088	0.586553356775559	-3.49122469776344	0.000480811698434578	0.00217547374013254	Plac8	0.19	0.02	0.21	0.67	0.41	0.04	0.3	0.11	0.4	0.44
ENSMUSG00000029335	NA	676.332624840861	-2.16059183276903	0.261705580562009	-8.25581108407851	1.50874108713356e-16	9.59087130007995e-15	Bmp3	0.39	0.77	0.48	1.91	1.84	0.25	0.67	0.41	1.49	1.56
ENSMUSG00000029343	NA	4.02238980573964	-3.24771220125531	1.01856792386979	-3.18850822330676	0.00143008942247383	0.00548299708363299	Crybb1	0.06	0	0.02	0.11	0.1	0	0.01	0	0.13	0.09
ENSMUSG00000029348	NA	60.5328901478817	-1.50111181754889	0.277876382811062	-5.40208492122754	6.58707504142446e-08	8.43256993196959e-07	Asphd2	0.2	0.28	0.27	0.66	1.2	0.17	0.27	0.2	0.41	0.35
ENSMUSG00000029359	NA	475.628970399749	-2.34481895694053	0.417650767785088	-5.61430539054369	1.97353398844849e-08	2.82624321389592e-07	Tesc	4.79	1.16	3.99	5.91	9.91	2.84	1.48	1.6	5.02	18.78
ENSMUSG00000029360	NA	13.6745557844084	-4.06474074222236	0.714634402488098	-5.68786043334942	1.2864088691044e-08	1.92824663911873e-07	Gm9754	0.01	0	0.01	0.04	0.14	0.01	0.01	0	0.04	0.16
ENSMUSG00000029361	NA	164.242727057823	-4.2439052564111	0.509297970801587	-8.33285326020756	7.89169510984883e-17	5.27856152829447e-15	Nos1	0.02	0.02	0.04	0.44	1.38	0.03	0.03	0.03	0.12	0.12
